,Table Name ,DataSource,Server
0,DateTableTemplate_26221cc3-9112-4427-bf95-6c44c10f85bc,"Calendar(Date(2015,1,1),Date(2015,1,1)",Date(2015
1,DAX Measures,Table,"Json.Document(Binary.Decompress(Binary.FromText(""i45WSkksSVSKjQUA"""
2,RLS,Table,"Json.Document(Binary.Decompress(Binary.FromText(""nZC9CoNAEITfxVqW5A1EEoWgjRYpxGI9F+/iZS/cT4J5+hi7QH4wxTBbzMcs0zRRTkxQhd7oi0w6S+xvxvSK++C8VeRAmHMUR5liZEHztV3Uxk1UEEE6R2glVyohkTRURtoOw7C292CcDAiFutKdpiT9CNeoyZWDfaEzizzC8UfvW7QWxnsogkD3H5orP35ba0Fn3yx6chWekNWI7BFKI2efVq6115oYdmEYkFd93T4A"""
3,CostCentersDimension,Databricks,"""adb-7934447987890827.7.azuredatabricks.net"""
4,UC2UC3Dimension,PowerPlatform,null)
5,SalespersonDimension,PowerPlatform,null)
6,ItemDimension,PowerPlatform,null)
7,LocalDateTable_d310afff-bdb6-4293-b2ef-048539663401,"Calendar(Date(Year(MIN('ItemDimension'[StatusLastUpdatedDate])),1,1),Date(Year(MAX('ItemDimension'[StatusLastUpdatedDate])),12,31)",Date(Year(MIN('ItemDimension'[StatusLastUpdatedDate]))
8,LocalDateTable_0561e353-064c-4215-958b-d84699240f0c,"Calendar(Date(Year(MIN('ItemDimension'[STDRollDate])),1,1),Date(Year(MAX('ItemDimension'[STDRollDate])),12,31)",Date(Year(MIN('ItemDimension'[STDRollDate]))
9,LocalDateTable_827edacd-9a69-4039-b4f1-2dc2dcbd64f5,"Calendar(Date(Year(MIN('ItemDimension'[STDRecordDate])),1,1),Date(Year(MAX('ItemDimension'[STDRecordDate])),12,31)",Date(Year(MIN('ItemDimension'[STDRecordDate]))
10,LocalDateTable_a073253d-b524-489f-a147-539191f3439d,"Calendar(Date(Year(MIN('ItemDimension'[EarliestPlannedPOReceipt])),1,1),Date(Year(MAX('ItemDimension'[EarliestPlannedPOReceipt])),12,31)",Date(Year(MIN('ItemDimension'[EarliestPlannedPOReceipt]))
11,LocalDateTable_63a10951-d8d6-48a7-b1cd-94c4b7c67ea2,"Calendar(Date(Year(MIN('ItemDimension'[LastMaintenanceDate])),1,1),Date(Year(MAX('ItemDimension'[LastMaintenanceDate])),12,31)",Date(Year(MIN('ItemDimension'[LastMaintenanceDate]))
12,LocalDateTable_dbb19747-e2b2-4bcb-a8f6-e13777767211,"Calendar(Date(Year(MIN('ItemDimension'[NewProductLaunchDate])),1,1),Date(Year(MAX('ItemDimension'[NewProductLaunchDate])),12,31)",Date(Year(MIN('ItemDimension'[NewProductLaunchDate]))
13,LocalDateTable_cd992257-7cc1-4e30-9148-1bd9b19c87c0,"Calendar(Date(Year(MIN('ItemDimension'[ItemRecordDate])),1,1),Date(Year(MAX('ItemDimension'[ItemRecordDate])),12,31)",Date(Year(MIN('ItemDimension'[ItemRecordDate]))
14,LocalDateTable_0c734b34-3050-4284-a676-fac7098ef651,"Calendar(Date(Year(MIN('ItemDimension'[LastInventory])),1,1),Date(Year(MAX('ItemDimension'[LastInventory])),12,31)",Date(Year(MIN('ItemDimension'[LastInventory]))
15,LocalDateTable_0255be88-9582-4628-b7cd-70de87cab23f,"Calendar(Date(Year(MIN('ItemDimension'[ChangeDate])),1,1),Date(Year(MAX('ItemDimension'[ChangeDate])),12,31)",Date(Year(MIN('ItemDimension'[ChangeDate]))
16,LocalDateTable_25d82958-4118-425a-a9b2-9935f07fe0b2,"Calendar(Date(Year(MIN('ItemDimension'[BOMLastImportDate])),1,1),Date(Year(MAX('ItemDimension'[BOMLastImportDate])),12,31)",Date(Year(MIN('ItemDimension'[BOMLastImportDate]))
17,LocalDateTable_3f595219-3287-4c1f-90c8-e3a178fd7a8f,"Calendar(Date(Year(MIN('ItemDimension'[datefld])),1,1),Date(Year(MAX('ItemDimension'[datefld])),12,31)",Date(Year(MIN('ItemDimension'[datefld]))
18,LocalDateTable_8053bdf0-0c1e-4822-8cce-6f1277062066,"Calendar(Date(Year(MIN('ItemDimension'[uf_AppDate])),1,1),Date(Year(MAX('ItemDimension'[uf_AppDate])),12,31)",Date(Year(MIN('ItemDimension'[uf_AppDate]))
19,LocalDateTable_ee104d7a-2df4-4737-a966-e03659aeeff9,"Calendar(Date(Year(MIN('ItemDimension'[uf_NotDate])),1,1),Date(Year(MAX('ItemDimension'[uf_NotDate])),12,31)",Date(Year(MIN('ItemDimension'[uf_NotDate]))
20,LocalDateTable_b8386dd5-b3c4-4b7c-b935-490f497f0c20,"Calendar(Date(Year(MIN('ItemDimension'[uf_VatNotDate])),1,1),Date(Year(MAX('ItemDimension'[uf_VatNotDate])),12,31)",Date(Year(MIN('ItemDimension'[uf_VatNotDate]))
21,CustomerDimension,PowerPlatform,[])
22,LocalDateTable_7894eaae-01ef-445c-9b03-794b85f1595b,"Calendar(Date(Year(MIN('CustomerDimension'[RecordDate])),1,1),Date(Year(MAX('CustomerDimension'[RecordDate])),12,31)",Date(Year(MIN('CustomerDimension'[RecordDate]))
23,LocalDateTable_be3937a9-0a0d-4334-81bf-86487a95c471,"Calendar(Date(Year(MIN('CustomerDimension'[CreateDate])),1,1),Date(Year(MAX('CustomerDimension'[CreateDate])),12,31)",Date(Year(MIN('CustomerDimension'[CreateDate]))
24,LocalDateTable_7396c8bd-462c-4956-80c5-9bc5e28c00ec,"Calendar(Date(Year(MIN('CustomerDimension'[RecordDate2])),1,1),Date(Year(MAX('CustomerDimension'[RecordDate2])),12,31)",Date(Year(MIN('CustomerDimension'[RecordDate2]))
25,LocalDateTable_7453537f-c71f-4017-9be3-1f70f0a1cf7d,"Calendar(Date(Year(MIN('CustomerDimension'[CreditHoldDate])),1,1),Date(Year(MAX('CustomerDimension'[CreditHoldDate])),12,31)",Date(Year(MIN('CustomerDimension'[CreditHoldDate]))
26,CustomerOrders_View,PowerPlatform,null)
27,LocalDateTable_a6f03349-f875-47ed-aac6-21d3d9675e44,"Calendar(Date(Year(MIN('CustomerOrders_View'[OrderDate])),1,1),Date(Year(MAX('CustomerOrders_View'[OrderDate])),12,31)",Date(Year(MIN('CustomerOrders_View'[OrderDate]))
28,LocalDateTable_24347064-df0a-4753-93d3-acc9836eea6b,"Calendar(Date(Year(MIN('CustomerOrders_View'[RequestDate])),1,1),Date(Year(MAX('CustomerOrders_View'[RequestDate])),12,31)",Date(Year(MIN('CustomerOrders_View'[RequestDate]))
29,LocalDateTable_5e2078cf-5c08-4c6f-925d-2e88265f11f3,"Calendar(Date(Year(MIN('CustomerOrders_View'[MarketDemandDate])),1,1),Date(Year(MAX('CustomerOrders_View'[MarketDemandDate])),12,31)",Date(Year(MIN('CustomerOrders_View'[MarketDemandDate]))
30,LocalDateTable_7104fef4-fe6b-4d1e-b634-1f457e894566,"Calendar(Date(Year(MIN('CustomerOrders_View'[LastShipDate])),1,1),Date(Year(MAX('CustomerOrders_View'[LastShipDate])),12,31)",Date(Year(MIN('CustomerOrders_View'[LastShipDate]))
31,LocalDateTable_167a9039-c963-47dd-9481-7c9ab46325ff,"Calendar(Date(Year(MIN('CustomerOrders_View'[ReleaseDate])),1,1),Date(Year(MAX('CustomerOrders_View'[ReleaseDate])),12,31)",Date(Year(MIN('CustomerOrders_View'[ReleaseDate]))
32,LocalDateTable_23155cf3-48b0-4656-9671-952319ea4a72,"Calendar(Date(Year(MIN('CustomerOrders_View'[ProjectedDateCOL])),1,1),Date(Year(MAX('CustomerOrders_View'[ProjectedDateCOL])),12,31)",Date(Year(MIN('CustomerOrders_View'[ProjectedDateCOL]))
33,LocalDateTable_c781804e-7838-4d41-9620-cb906949f274,"Calendar(Date(Year(MIN('CustomerOrders_View'[ProjectedDateCO])),1,1),Date(Year(MAX('CustomerOrders_View'[ProjectedDateCO])),12,31)",Date(Year(MIN('CustomerOrders_View'[ProjectedDateCO]))
34,LocalDateTable_447140a2-e6fe-42db-9a07-ab338cdf5b57,"Calendar(Date(Year(MIN('CustomerOrders_View'[CurrentDate])),1,1),Date(Year(MAX('CustomerOrders_View'[CurrentDate])),12,31)",Date(Year(MIN('CustomerOrders_View'[CurrentDate]))
35,LocalDateTable_7cf0a383-ef54-4e25-a4e3-25e48db2ea2b,"Calendar(Date(Year(MIN('CustomerOrders_View'[CreditHoldDateCO])),1,1),Date(Year(MAX('CustomerOrders_View'[CreditHoldDateCO])),12,31)",Date(Year(MIN('CustomerOrders_View'[CreditHoldDateCO]))
36,UC2UC3Dimension (Trim),PowerPlatform,null)
37,EndUserDimension,PowerPlatform,null)
38,LocalDateTable_ab6d10fa-2618-4877-aa8b-09457b95d182,"Calendar(Date(Year(MIN('EndUserDimension'[RecordDate])),1,1),Date(Year(MAX('EndUserDimension'[RecordDate])),12,31)",Date(Year(MIN('EndUserDimension'[RecordDate]))
39,Ship Code Table,Table,"Json.Document(Binary.Decompress(Binary.FromText(""hVRRj9owDP4rFk+b1KvYJu09JKbkKEnkpLQduwe23U5oEiC40+7nzwnoIB3THuLY/j65tht7tRp9IjUqogQnKPSsj/mY0UOxGolSlWyIElSjEVxfY4ZPxJT1CaEJrbUKBJEwFSqYEupqFnKywjpjs62XSPknJ0is+/3jj83zZreFyeNhvc0ZPsY9yStvG53oQyvygPLry3j88XNM9Eq9wlMNsvHBLpDeSmDfBz79mUP/5+gUx/oA2viGyptNkLZOrLpGOUQ8643zIK3xujKY91q65joHp+UcGpenkOyMMmAoEe2TvIRWKnmVg4C0GEBNgpob0FTFjOMF9e5pc3zefD/CsTyUuzIjYpv+MXZ3LZDoralyuIvg6+/d4dexgMX68LzZHr+9HJ4KaJfQeDFgtylWa2nuhwhdICBVFfykM8pURptlATNLdqklFiC/5Jz0X1kiiRqwc4TeDxmYU8BgF0CJHoSmnGsnkUqIYA1MrOA5e+cshfc5rZueI3Y3n02FOuYQr2G+9/FB3e/2+/XlL2SEuTVxhhWwwgXPM9DpEMvlK4CdaXuzYJfayH4nNA+54aNUzjhthn8uCrIxwuvPfe7tUxi+MO9a4HbGLcBdMzZgnk14w860C9Q4e5qhO8uLxfzVRkbOM1aRbUxeQyvSJowXBGrkXA8eapeis4TaVtoHLfPE+rTfWNa2zQGSEUjy7H34Aw=="""
40,SalespersonDimension (Corp),PowerPlatform,null)
